party,total_votes,seniority,ideal_point,rss_url,domain,votes_with_party_pct,facebook_id,google_entity_id,id,state,facebook_account,missed_votes,url,missed_votes_pct,api_uri,thomas_id,middle_name,first_name,last_name,fullname,dw_nominate,next_election,total_present,twitter_account
D,502,9,,https://www.casey.senate.gov/rss/feeds/?all,www.casey.senate.gov,91.75,1.0775E+14,kg:/m/047ymw,C001070,PA,SenatorBobCasey,5,https://www.casey.senate.gov,1,https://api.propublica.org/congress/v1/members/C001070.json,1828,,Bob,Casey,Bob Casey,,2018,0,SenBobCasey
R,502,9,,http://www.corker.senate.gov/public/index.cfm/rss/feed,www.corker.senate.gov,88.11,1.09251E+14,kg:/m/0d9fz3,C001071,TN,bobcorker,14,http://www.corker.senate.gov,2.79,https://api.propublica.org/congress/v1/members/C001071.json,1825,,Bob,Corker,Bob Corker,,2018,0,SenBobCorker
R,502,1,,,www.cassidy.senate.gov,92.94,,kg:/m/0286t7r,C001075,LA,,6,http://www.cassidy.senate.gov,1.2,https://api.propublica.org/congress/v1/members/C001075.json,1925,,Bill,Cassidy,Bill Cassidy,,2020,0,BillCassidy
D,502,7,,https://www.coons.senate.gov/rss/feeds/?type=press,,95.45,2.54951E+14,kg:/m/082d3d,C001088,DE,senatorchriscoons,18,https://www.coons.senate.gov,3.59,https://api.propublica.org/congress/v1/members/C001088.json,1984,A.,Christopher,Coons,Christopher Coons,,2020,0,SenCoonsOffice
R,502,1,,https://www.cotton.senate.gov/rss/,,90.98,1.20356E+14,kg:/m/02g3ds,C001095,AR,RepTomCotton,14,https://www.cotton.senate.gov,2.79,https://api.propublica.org/congress/v1/members/C001095.json,2098,,Tom,Cotton,Tom Cotton,,2020,0,SenTomCotton
R,502,3,,https://www.cruz.senate.gov/rss/,cruz.senate.gov,79.71,3.15496E+14,kg:/m/07j6ty,C001098,TX,SenatorTedCruz,162,https://www.cruz.senate.gov,32.27,https://api.propublica.org/congress/v1/members/C001098.json,2175,,Ted,Cruz,Ted Cruz,,2018,0,SenTedCruz
D,502,19,,,www.durbin.senate.gov,95.93,1.80437E+14,kg:/m/01xcd1,D000563,IL,SenatorDurbin,11,http://www.durbin.senate.gov,2.19,https://api.propublica.org/congress/v1/members/D000563.json,326,J.,Richard,Durbin,Richard Durbin,,2020,0,SenatorDurbin
D,502,3,,http://www.donnelly.senate.gov/rss/feeds/?press,www.donnelly.senate.gov,78.71,1.6806E+14,kg:/m/0gmx64,D000607,IN,senatordonnelly,4,http://www.donnelly.senate.gov,0.8,https://api.propublica.org/congress/v1/members/D000607.json,1850,,Joe,Donnelly,Joe Donnelly,,2018,0,SenDonnelly
R,502,1,,,,89.24,1.85361E+14,kg:/m/03qlc5t,D000618,MT,SteveDainesMT,0,https://www.daines.senate.gov,0,https://api.propublica.org/congress/v1/members/D000618.json,2138,,Steve,Daines,Steve Daines,,2020,0,SteveDaines
R,502,19,,http://www.enzi.senate.gov/public/index.cfm/rss/feed,,91.96,23068049436,kg:/m/021ph1,E000285,WY,mikeenzi,17,http://www.enzi.senate.gov,3.39,https://api.propublica.org/congress/v1/members/E000285.json,1542,B.,Michael,Enzi,Michael Enzi,,2020,0,SenatorEnzi
R,502,1,,,,93.43,,kg:/m/0gg4wkg,E000295,IA,,0,http://www.ernst.senate.gov,0,https://api.propublica.org/congress/v1/members/E000295.json,2283,,Joni,Ernst,Joni Ernst,,2020,0,senjoniernst
